location,year,age0_cpue,lsaug_cpue,lbass_cpue,lcrap_cpue,secchi,sto_length_mm,sto_dens_ha,sto_doy,growth,size_ha,AvgSpWTemp,AvgSuWTemp
Acton,2005,85.66666667,2.6875,62.66666667,2.323529412,56.85714286,30.98029444,3784.357865,147.8449477,0.235384187,240,21.19344262,27.66532258
Acton,2006,26.5,1.90625,48,0.137931034,38,35.65625,406.2780235,138.3229167,0.290248577,240,18.50554098,25.84550403
Acton,2010,10,1.599959739,62.66666667,1.266666667,55,27.14705882,406.4783784,135,0.249523927,240,19.83292828,26.63444825
Acton,2011,3.666666667,0.12950036,60,2.766666667,51.66666667,27.47409202,279.0443055,139.375,0.402183371,240,17.18569194,26.07065457
Acton,2013,18,1.644102681,31.71428571,3.1,55.66666667,30.31848431,504.2933167,136.9590798,0.235489828,240,19.61821277,24.52254435
Acton,2014,10,1.55255785,30,2.4,73.33333333,30.93138993,762.9014211,141.6734238,0.268812808,240,20.00756489,24.7838041
Acton,2015,6,2.319923638,35.33333333,2.45,50.39130435,25,182.7069847,147.3819444,0.09354291,240,20.24943033,23.34330309
Acton,2016,18.5,1.825476745,44,2.1,61.66666667,28,227.9287582,134.3194444,0.349239042,240,20.68242111,27.21471505
Acton,2017,16.33333333,3.112887796,125.3333333,2.275,76.5,30,506.4680024,138.375,0.246405896,240,19.28645936,24.41492473
Acton,2018,18.66666667,0.965629861,36.8,4,78,30.5852359,189.5900108,145.3333333,0.353052602,240,22.62274078,26.34850067
Acton,2019,12.36363636,4.501936863,26.33333333,1.333333333,56.66666667,27,719.7499816,143.2708333,0.362235257,240,19.20085895,26.48374866
Alum Creek,2006,26.66666667,0.7462984,24.44444444,3.323529412,164.5,31.72348182,771.7898824,146.8628936,0.235463583,1349,19.08319262,26.02255645
Alum Creek,2007,26.54545455,0.584621977,25.55555556,7.366666667,225,30.73721075,791.2911741,145.20587,0.236262599,1349,19.87861066,25.29865323
Alum Creek,2011,38.33333333,0.695585334,26.66666667,2.666666667,126.5,30,238.8218337,143.3194444,0.276775569,1349,18.64587295,27.08064113
Alum Creek,2012,38,0.888090723,28,1.833333333,131,26.74987367,248.0947394,133.8773581,0.350591955,1349,21.10587329,26.1774953
Alum Creek,2013,38.66666667,0.808348824,23.55555556,2.529411765,86,28.85699607,251.2460437,137.0933365,0.352531876,1349,19.05850512,24.93254099
Alum Creek,2015,26.83333333,2.466611645,23.55555556,1.35,181,28.2948478,247.7238232,139.5640498,0.253713129,1349,19.62139344,24.84769556
Dillon,2011,47.5,0.023255814,31.69047619,1.8,57,28.83048396,380.7243065,140.375,0.306099028,518,20.69454918,27.33748656
Dillon,2012,27.25,0.176720801,20.99632353,1.233333333,61,28.21285982,372.7064548,136.375,0.378263434,518,22.08514583,26.99021337
Dillon,2013,17.06666667,0.191664434,32.33333333,1.866666667,61,28.20469381,778.4348665,139.8968014,0.312846207,518,21.68025342,24.01396976
Dillon,2017,54.5,0.607924896,16,5.733333333,27.5,35.5938271,472.9798332,131.925547,0.313428278,518,21.20328962,25.18144825
Dillon,2018,96.5,1.021609372,39.33333333,3.517241379,56,29,148.5698258,138.3333333,0.238631924,518,22.08401605,26.55980108
Dillon,2019,179.25,1.092365142,50.66666667,0.9,64.33333333,28.473092,518.544415,136.2147325,0.245505435,518,20.35195287,26.03981015
Hoover,2006,11.83333333,0.990281577,31.05882353,1.888888889,65.5,29.22246755,580.4554163,137.4166667,0.370712381,1168,19.21045902,25.90565726
Hoover,2007,29.45454545,1.513654107,31.55555556,1.64,87,30.75801784,637.2482998,142.3956096,0.317583489,1168,20.17829235,25.46464785
Hoover,2008,33.81818182,1.321266215,32.22222222,2.827586207,99.33333333,28.66476122,580.2275045,143.6631518,0.366376959,1168,18.70036066,25.06928763
Hoover,2009,24.22222222,2.288017555,16.66666667,1.85,192,31.81823315,545.416973,147.3854167,0.31687473,1168,20.36940164,24.45170968
Hoover,2011,8,0.7203718,35.66666667,2.075,83.4,27.74439,243.5649053,143.4201389,0.357535844,1168,20.5456225,26.15792984
Hoover,2012,39.21678322,1.027289143,24.66666667,2.675,63.7826087,26.16168751,249.2575599,131.9509838,0.328845488,1168,20.83676673,26.06186962
Hoover,2014,8,1.80517966,15.11111111,2.96,96.5,28,252.5262952,140.3055556,0.369668373,1168,19.43588081,24.3714002
Hoover,2016,2.166666667,0.922550608,22,4.025,84,26,247.7641377,152.3194444,0.36520308,1168,19.37250068,26.44095699
Pleasant Hill,2006,40.5,3.802000075,44.33333333,3.766666667,55,31.58628442,661.8074195,146.8802087,0.271903359,317,20.87196108,25.9825
Pleasant Hill,2008,16,1.794165963,60,0.233333333,111.6666667,29.76671398,502.1331683,148.5034722,0.330512312,317,19.39891393,24.84000403
Pleasant Hill,2009,95.25,2.511484408,47.66666667,0.55,119,33.1875,248.4330131,153,0.2139604,317,20.30334426,24.42943145
Pleasant Hill,2010,17.66666667,2.836260757,63,1.05,123.8571429,29.35294118,250.0772198,142.3958333,0.3673289,317,20.9719959,26.75815726
Pleasant Hill,2011,27.66666667,1.402016179,37.66666667,2.575,79.6,24.83598464,503.6984784,146.3506944,0.197274679,317,19.36627869,26.65989919
Pleasant Hill,2012,54.33333333,1.324982313,19.66666667,2.125,93,29.28088646,496.9859491,136.3853555,0.298170769,317,21.77940335,26.3436334
Pleasant Hill,2013,23.66666667,1.537384166,29.66666667,2.475,68.66666667,33,749.8908258,140.3020833,0.25995024,317,19.56833538,22.84382056
Pleasant Hill,2015,50.33333333,1.730580935,40.33333333,0.95,105.3333333,27.02541156,248.2562845,135.3333333,0.341351809,317,20.90363866,24.27942238
Pleasant Hill,2017,17.33333333,1.287948881,101,3.9,59,24,628.4120339,147.7902425,0.204416316,317,20.58744057,24.89845027
Pleasant Hill,2018,32.66666667,1.596031778,38.33333333,1.125,86,33,231.8173728,136.4375,0.524758478,317,21.12095765,25.94620598
Pleasant Hill,2019,86,2.175933427,144.6666667,1.65,90.25,33.69664803,716.1956329,140.6338465,0.331091442,317,19.11379645,25.36613206
Tappan,2004,8,2.324955931,16.66666667,1.181818182,73,34.07315767,419.6938804,147.5996326,0.113786215,921,20.42924516,24.36612903
Tappan,2005,11,2.948861678,43.11111111,2.84,71,33.64864865,348.9844259,152.34375,0.224986964,921,18.61095492,26.3536129
Tappan,2006,34.54545455,2.76768149,26,4.15,87.5,31.1425073,351.3696244,144.4166667,0.183695473,921,19.16769262,25.96971774
Tappan,2007,0.909090909,2.080718193,19.77777778,5.433333333,98,28.87791576,358.820789,145.4166667,0.352602789,921,20.03380328,24.89112097
Tappan,2008,8.888888889,2.356906423,26.66666667,3.068965517,88,29.61290323,348.2313769,148.5104167,0.222588271,921,19.53072131,25.06713306
Tappan,2009,5.166666667,1.740264781,31.33333333,3,79.75,33.1875,232.5965181,153.3472222,0.233258054,921,20.3857377,24.50431452
Tappan,2010,2,1.234298236,24.44444444,2.766666667,82.4,29.35294118,92.005637,142.4166667,0.402161616,921,20.79659836,26.80981855
Tappan,2011,0.166666667,1.007926121,24.66666667,2.566666667,83.5,27.46886927,499.104148,145.9882671,0.283379511,921,20.51833197,26.45311694
Tappan,2012,1.333333333,1.008863286,32.85714286,3.931034483,83.5,28.75857906,500.4461617,135.8514259,0.389349694,921,20.88228928,25.93295766
Tappan,2013,38.5,0.639740448,22.22222222,3.466666667,96.33333333,23.63075085,870.6322315,140.0786601,0.203040838,921,19.98101503,24.94963038
Tappan,2014,37.66666667,1.518702659,23.33333333,3.433333333,112.6666667,33.45276142,766.578897,142.0957898,0.235305083,921,19.94194228,24.55546505
Tappan,2015,18,2.827898133,20.44444444,4.633333333,102.3333333,26.27625511,153.8708406,147.5175739,0.140023981,921,22.79051172,23.20320645
Tappan,2016,1.272727273,3.95978044,24,3.333333333,78,26.80357999,203.9752226,155.4258042,0.208007797,921,19.28808675,26.32860181
Tappan,2018,12.16666667,2.926271081,17.11111111,3.533333333,122,33.25775951,151.2444056,143.3333333,0.204099323,921,20.92488286,25.79582224
Tappan,2019,27,3.802998054,51.55555556,3.066666667,98.5,27.56409988,498.0294503,140.3311234,0.313555739,921,19.97549112,26.02641969
