location,year,age0_cpue,lsaug_cpue,lbass_cpue,lcrap_cpue,secchi,sto_length_mm,sto_dens_ha,sto_doy,growth,rts,size_ha,max_depth_m,size
ACTON LAKE,2005,85.66666667,0.5,25.66666667,5.705882353,56.85714286,30.98029444,3784.357865,147.8449477,0.235384187,,240,9.5,
ACTON LAKE,2006,26.5,1.125,27.2,9.655172414,38,35.65625,406.2780235,138.3229167,0.290248577,B,240,9.5,1
ACTON LAKE,2010,10,1.342023494,25.33333333,8.5,55,27.14705882,406.4783784,135,0.249523927,A,240,9.5,1
ACTON LAKE,2011,3.666666667,0.12950036,30,10.7,51.66666667,27.47409202,279.0443055,139.375,0.402183371,B,240,9.5,1
ACTON LAKE,2013,18,0.870191101,25.42857143,12.925,55.66666667,30.31848431,504.2933167,136.9590798,0.235489828,A,240,9.5,1
ACTON LAKE,2014,10,1.045861228,20,20.325,73.33333333,30.93138993,762.9014211,141.6734238,0.268812808,B,240,9.5,1
ACTON LAKE,2015,6,1.874609056,38.66666667,20.55,50.39130435,25,182.7069847,147.3819444,0.09354291,B,240,9.5,1
ACTON LAKE,2016,18.5,1.61537793,17.5,13.85,61.66666667,28,227.9287582,134.3194444,0.349239042,A,240,9.5,1
ACTON LAKE,2017,16.33333333,3.055744939,32,6.8,76.5,30,506.4680024,138.375,0.246405896,B,240,9.5,1
ACTON LAKE,2018,18.66666667,0.816683713,28.8,41,78,30.5852359,189.5900108,145.3333333,0.353052602,B,240,9.5,1
ACTON LAKE,2019,12.36363636,4.501936863,17,2.5,56.66666667,27,719.7499816,143.2708333,0.362235257,B,240,9.5,1
ALUM CREEK LAKE,2006,26.66666667,0.633958513,8.666666667,3.147058824,164.5,31.72348182,771.7898824,146.8628936,0.235463583,B,1349,21,4
ALUM CREEK LAKE,2007,26.54545455,0.462930779,12.22222222,7.133333333,225,30.73721075,791.2911741,145.20587,0.236262599,B,1349,21,4
ALUM CREEK LAKE,2011,38.33333333,0.49599517,8,3.133333333,126.5,30,238.8218337,143.3194444,0.276775569,B,1349,21,4
ALUM CREEK LAKE,2012,38,0.80487265,5.777777778,2.533333333,131,26.74987367,248.0947394,133.8773581,0.350591955,A,1349,21,4
ALUM CREEK LAKE,2013,38.66666667,0.659369232,4.444444444,3.735294118,86,28.85699607,251.2460437,137.0933365,0.352531876,A,1349,21,4
ALUM CREEK LAKE,2015,26.83333333,1.705257103,5.111111111,1.525,181,28.2948478,247.7238232,139.5640498,0.253713129,B,1349,21,4
DILLON LAKE,2011,47.5,0.023255814,1.333333333,8.3,57,28.83048396,380.7243065,140.375,0.306099028,B,518,7,2
DILLON LAKE,2012,27.25,0.176895871,6.125,12.83333333,61,28.21285982,372.7064548,136.375,0.378263434,A,518,7,2
DILLON LAKE,2013,17.06666667,0.036036036,6.333333333,6.833333333,61,28.20469381,778.4348665,139.8968014,0.312846207,B,518,7,2
DILLON LAKE,2017,54.5,0.440834252,1,8.7,27.5,35.5938271,472.9798332,131.925547,0.313428278,A,518,7,2
DILLON LAKE,2018,96.5,0.68889709,2.333333333,5.827586207,56,29,148.5698258,138.3333333,0.238631924,B,518,7,2
DILLON LAKE,2019,179.25,1.010418489,2,2.433333333,64.33333333,28.473092,518.544415,136.2147325,0.245505435,A,518,7,2
HOOVER RESERVOIR,2006,11.83333333,0.961169495,6.352941176,4.407407407,65.5,29.22246755,580.4554163,137.4166667,0.370712381,A,1168,18,4
HOOVER RESERVOIR,2007,29.45454545,1.368937807,8,4.2,87,30.75801784,637.2482998,142.3956096,0.317583489,B,1168,18,4
HOOVER RESERVOIR,2008,33.81818182,1.060338225,11.77777778,5.862068966,99.33333333,28.66476122,580.2275045,143.6631518,0.366376959,B,1168,18,4
HOOVER RESERVOIR,2009,24.22222222,2.165064182,7.555555556,6.775,192,31.81823315,545.416973,147.3854167,0.31687473,B,1168,18,4
HOOVER RESERVOIR,2011,8,0.618628938,2.666666667,2.4,83.4,27.74439,243.5649053,143.4201389,0.357535844,B,1168,18,4
HOOVER RESERVOIR,2012,39.21678322,0.987444403,4.666666667,5.65,63.7826087,26.16168751,249.2575599,131.9509838,0.328845488,A,1168,18,4
HOOVER RESERVOIR,2014,8,1.611953645,6,10.36,96.5,28,252.5262952,140.3055556,0.369668373,B,1168,18,4
HOOVER RESERVOIR,2016,2.166666667,0.922550608,10.44444444,14.575,84,26,247.7641377,152.3194444,0.36520308,B,1168,18,4
PLEASANT HILL LAKE,2006,40.5,2.529744821,6.333333333,7.133333333,55,31.58628442,661.8074195,146.8802087,0.271903359,B,317,12.1,1
PLEASANT HILL LAKE,2008,16,1.436113793,5.333333333,3.4,111.6666667,29.76671398,502.1331683,148.5034722,0.330512312,B,317,12.1,1
PLEASANT HILL LAKE,2009,95.25,2.451242472,11,2.275,119,33.1875,248.4330131,153,0.2139604,B,317,12.1,1
PLEASANT HILL LAKE,2010,17.66666667,2.664292649,7,1.5,123.8571429,29.35294118,250.0772198,142.3958333,0.3673289,B,317,12.1,1
PLEASANT HILL LAKE,2011,27.66666667,1.37382069,7,12.875,79.6,24.83598464,503.6984784,146.3506944,0.197274679,B,317,12.1,1
PLEASANT HILL LAKE,2012,54.33333333,0.962389297,4.666666667,3.875,93,29.28088646,496.9859491,136.3853555,0.298170769,A,317,12.1,1
PLEASANT HILL LAKE,2013,23.66666667,1.046059391,8.333333333,4.125,68.66666667,33,749.8908258,140.3020833,0.25995024,B,317,12.1,1
PLEASANT HILL LAKE,2015,50.33333333,1.730580935,9,1.35,105.3333333,27.02541156,248.2562845,135.3333333,0.341351809,A,317,12.1,1
PLEASANT HILL LAKE,2017,17.33333333,1.287948881,10,7.75,59,24,628.4120339,147.7902425,0.204416316,B,317,12.1,1
PLEASANT HILL LAKE,2018,32.66666667,1.502667581,8.666666667,1.75,86,33,231.8173728,136.4375,0.524758478,A,317,12.1,1
PLEASANT HILL LAKE,2019,86,2.175933427,13.33333333,2.55,90.25,33.69664803,716.1956329,140.6338465,0.331091442,B,317,12.1,1
TAPPAN LAKE,2004,8,1.587082897,4.222222222,1.727272727,73,34.07315767,419.6938804,147.5996326,0.113786215,B,921,7.5,3
TAPPAN LAKE,2005,11,1.710103132,3.777777778,4.04,71,33.64864865,348.9844259,152.34375,0.224986964,B,921,7.5,3
TAPPAN LAKE,2006,34.54545455,2.300320256,9.555555556,5.1,87.5,31.1425073,351.3696244,144.4166667,0.183695473,B,921,7.5,3
TAPPAN LAKE,2007,0.909090909,0.896281188,9.555555556,5.833333333,98,28.87791576,358.820789,145.4166667,0.352602789,B,921,7.5,3
TAPPAN LAKE,2008,8.888888889,2.275429543,8.222222222,7.965517241,88,29.61290323,348.2313769,148.5104167,0.222588271,B,921,7.5,3
TAPPAN LAKE,2009,5.166666667,1.601418605,6.666666667,5.9,79.75,33.1875,232.5965181,153.3472222,0.233258054,B,921,7.5,3
TAPPAN LAKE,2010,2,1.177056857,7.333333333,12.9,82.4,29.35294118,92.005637,142.4166667,0.402161616,B,921,7.5,3
TAPPAN LAKE,2011,0.166666667,1.007926121,8.444444444,6.566666667,83.5,27.46886927,499.104148,145.9882671,0.283379511,B,921,7.5,3
TAPPAN LAKE,2012,1.333333333,1.008863286,14.57142857,15.51724138,83.5,28.75857906,500.4461617,135.8514259,0.389349694,A,921,7.5,3
TAPPAN LAKE,2013,38.5,0.639740448,16,16.66666667,96.33333333,23.63075085,870.6322315,140.0786601,0.203040838,B,921,7.5,3
TAPPAN LAKE,2014,37.66666667,0.555857703,10.22222222,20.93333333,112.6666667,33.45276142,766.578897,142.0957898,0.235305083,B,921,7.5,3
TAPPAN LAKE,2015,18,1.788969455,8,18.53333333,102.3333333,26.27625511,153.8708406,147.5175739,0.140023981,B,921,7.5,3
TAPPAN LAKE,2016,1.272727273,3.842407559,11.77777778,14.2,78,26.80357999,203.9752226,155.4258042,0.208007797,B,921,7.5,3
TAPPAN LAKE,2018,12.16666667,2.228543991,7.777777778,16,122,33.25775951,151.2444056,143.3333333,0.204099323,B,921,7.5,3
TAPPAN LAKE,2019,27,3.034469176,27.55555556,19.06666667,98.5,27.56409988,498.0294503,140.3311234,0.313555739,B,921,7.5,3
